te quiero, 4
te amo, 4
te adoro, 4
está bueno, 0
me gustó, 0
muy bien, 5
después de un buen taco un buen cigarro, 10
dicen que fumar causa cáncer, 10
me urge fumar un cigarro, 10
me quedé sin cajetillas de cigarros, 10
dice mi mamá que deje de fumar, 10
me siento muy feliz cuando estoy contigo, 4
estoy demasiado enamorado de ella, 4
no me gusta hacer tarea, 2
me dijo que le llamara por teléfono, 8
estoy haciendo eta llamada desde mi celular, 8
me la paso en el teléfono, 8
odio que todo el mundo esté trabajando, 2
no me gusta cuando como pasta, 2
me siento un poco decepcionado, 2
muy buen trabajo, 5
la aplicación está quedando bien, 5
la cena estuvo muy rica, 5
terminé el trabajo a tiempo, 5
el curso estuvo impresionante, 5
me la pasé muy bien, 5
me la pasé muy mal, 6
el curso estuvo muy deficiente, 6
la comida no tenía buen sabor, 6
mi equipo no juega a nada, 6
felicidades, 7
por mi acabé mi carrera, 7
el real madrid es campeón, 7
quedamos campeones, 7
por fin ganamos, 7
terminamos en primer lugar, 7
tengo mucho dinero, 9
este día pagan, 9
hoy me pagan una deuda, 9
hoy tengo que pagar un dinero, 9
el equipo de fútbol es bueno, 11
vamos a jugar, 11
hay que ver el partido, 11
ahorita están pasando el partido, 11
partido de futbol, 11
ese equipo no juega a nada, 11
muy mal, 13
mi calificación fue reprobada, 13
estoy muy feliz, 0
por fin voy a dormir, 0
domingo a descansar, 0
estuvimos bailando y sonriendo, 0
estoy enojado, 2
estuvo delicioso, 3
el postre está dulce, 3
me gusta el café, 3
quiero ir por alitas, 3
vamos a comer, 3
desayunando, 3
la comida estaba sabrosa, 3
mi perro tuvo cachorros, 0
me veo muy bien, 15
estoy vestido muy elegante, 15
tengo que ir de vacaciones, 12
al fin en la playa, 12
tomando el sol y cerveza, 12
tengo que pagar la cuenta, 9
tengo mucha plata, 9
hay mucho tráfico, 2
mi mochila está muy pesada, 2
hace mucho calor, 12
américa quedó campeón, 14
estaba equivocado, 13
chistoso, 0
me gusta cuando la gente sonríe, 0
estoy impresionado por tu trabajo en este proyecto, 7
vamos a comer juntos, 3
que momento tan divertido, 0
estuvo aburrido, 1
que evento tan aburrido, 1
te extraño, 4
sigo enamorado, 4
estoy feliz con mi novia, 4
estoy muy frustrado, 2
que buena broma, 0
el portero apesta, 11
el cruz azul juega muy mal, 11
quiero ir de vacaciones, 12
extraño ir a la playa, 12
me gusta la playa, 12
estuve en la playa, 12
muy buen postre, 15
un platillo excelente, 3
quiero seguir disfrutando mi helado, 3
estoy con mi mamá, 4
muy buen trabajo, 5
muy mal trabajo, 6
lo hiciste muy mal, 13
tu trabajo está mal, 13
me equivoqué, 13
falló el último tiro, 13
quiero un puro de cuba, 10
fumar me encanta, 10
tengo que dejar de fumar, 10
estoy ahorrando, 9
arriba manuel, 14
manuel es un pendejo, 2
te marqué pero no estabas, 8
me marcas en la tarde, 8
estoy esperando tu llamada, 8
vamos, 14
bienvenido, 14
excelente, 14
no vuelvo a venir aquí, 6
estoy decaído, 6
la escuela ya no es lo mismo, 6
estuvo perfecto, 7
